TIME_PERIOD;GEO;AGE;SEX;Obs_status;Obs_value
2020-W01;CH;_T;T;P;1309
2020-W01;CH;_T;F;P;687
2020-W01;CH;_T;M;P;622
2020-W01;CH;Y0T4;T;P;4
2020-W01;CH;Y0T4;F;P;2
2020-W01;CH;Y0T4;M;P;2
2020-W01;CH;Y5T9;T;P;1
2020-W01;CH;Y5T9;F;P;1
2020-W01;CH;Y10T14;T;P;1
2020-W01;CH;Y10T14;M;P;1
2020-W01;CH;Y15T19;T;P;4
2020-W01;CH;Y15T19;F;P;1
2020-W01;CH;Y15T19;M;P;3
2020-W01;CH;Y20T24;T;P;2
2020-W01;CH;Y20T24;M;P;2
2020-W01;CH;Y25T29;T;P;3
2020-W01;CH;Y25T29;M;P;3
2020-W01;CH;Y35T39;T;P;7
2020-W01;CH;Y35T39;F;P;1
2020-W01;CH;Y35T39;M;P;6
2020-W01;CH;Y40T44;T;P;9
2020-W01;CH;Y40T44;F;P;3
2020-W01;CH;Y40T44;M;P;6
2020-W01;CH;Y45T49;T;P;12
2020-W01;CH;Y45T49;F;P;4
2020-W01;CH;Y45T49;M;P;8
2020-W01;CH;Y50T54;T;P;29
2020-W01;CH;Y50T54;F;P;9
2020-W01;CH;Y50T54;M;P;20
2020-W01;CH;Y55T59;T;P;35
2020-W01;CH;Y55T59;F;P;14
2020-W01;CH;Y55T59;M;P;21
2020-W01;CH;Y60T64;T;P;37
2020-W01;CH;Y60T64;F;P;10
2020-W01;CH;Y60T64;M;P;27
2020-W01;CH;Y65T69;T;P;78
2020-W01;CH;Y65T69;F;P;29
2020-W01;CH;Y65T69;M;P;49
2020-W01;CH;Y70T74;T;P;103
2020-W01;CH;Y70T74;F;P;43
2020-W01;CH;Y70T74;M;P;60
2020-W01;CH;Y75T79;T;P;147
2020-W01;CH;Y75T79;F;P;61
2020-W01;CH;Y75T79;M;P;86
2020-W01;CH;Y80T84;T;P;182
2020-W01;CH;Y80T84;F;P;89
2020-W01;CH;Y80T84;M;P;93
2020-W01;CH;Y85T89;T;P;251
2020-W01;CH;Y85T89;F;P;141
2020-W01;CH;Y85T89;M;P;110
2020-W01;CH;Y_GE90;T;P;404
2020-W01;CH;Y_GE90;F;P;279
2020-W01;CH;Y_GE90;M;P;125
2020-W02;CH;_T;T;P;1357
2020-W02;CH;_T;F;P;690
2020-W02;CH;_T;M;P;667
2020-W02;CH;Y0T4;T;P;6
2020-W02;CH;Y0T4;F;P;3
2020-W02;CH;Y0T4;M;P;3
2020-W02;CH;Y10T14;T;P;2
2020-W02;CH;Y10T14;F;P;2
2020-W02;CH;Y15T19;T;P;2
2020-W02;CH;Y15T19;F;P;2
2020-W02;CH;Y20T24;T;P;2
2020-W02;CH;Y20T24;F;P;1
2020-W02;CH;Y20T24;M;P;1
2020-W02;CH;Y25T29;T;P;1
2020-W02;CH;Y25T29;M;P;1
2020-W02;CH;Y30T34;T;P;2
2020-W02;CH;Y30T34;M;P;2
2020-W02;CH;Y35T39;T;P;8
2020-W02;CH;Y35T39;F;P;2
